date,rate
2026-06-17,1.4034
2026-06-18,1.4131
2026-06-19,1.4171
2026-06-22,1.4162
2026-06-23,1.42
2026-06-24,1.4234
2026-06-25,1.4204
2026-06-26,1.4186
2026-06-29,1.4206
2026-06-30,1.421
2026-07-02,1.4181
2026-07-03,1.4201
2026-07-06,1.4219
2026-07-07,1.4199
2026-07-08,1.4174
2026-07-09,1.4169
2026-07-10,1.4146
2026-07-13,1.4145
2026-07-14,1.4067
2026-07-15,1.4049
2026-07-16,1.4038
2026-07-17,1.4014
2026-07-20,1.4054
2026-07-21,1.4095
2026-07-22,1.4088
2026-07-23,1.4083
2026-07-24,1.4093
2026-07-27,1.4114
2026-07-28,1.4102
2026-07-29,1.4083
2026-07-30,1.4014
2026-07-31,1.4029
2026-08-04,1.4068
2026-08-05,1.4026
2026-08-06,1.4018
2026-08-07,1.3943
2026-08-10,1.3942
2026-08-11,1.3927
2026-08-12,1.393
2026-08-13,1.3938
2026-08-14,1.3875
2026-08-17,1.3865
2026-08-18,1.3889
2026-08-19,1.3824
2026-08-20,1.3785
2026-08-21,1.376
2026-08-24,1.3842
2026-08-25,1.3839
2026-08-26,1.3876
2026-08-27,1.3861
2026-08-28,1.3888
2026-08-31,1.3866
2026-09-01,1.3896
2026-09-02,1.3863
2026-09-03,1.3789
2026-09-04,1.384
2026-09-08,1.3784
2026-09-09,1.3798
2026-09-10,1.3822
2026-09-11,1.3866
2026-09-14,1.3909
2026-09-15,1.3917
2026-09-16,1.3947
2026-09-17,1.3988
2026-09-18,1.4002
